[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 5.8433347, 5.8, 5.0, 7.9, 4.3]
[Sepal Width, 3.054, 3.0, 3.0, 4.4, 2.0]
[Petal Length, 3.7586665, 4.3500004, 1.5, 6.9, 1.0]
[Petal Width, 1.1986669, 1.3, 0.2, 2.5, 0.1]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 5.0040817, 5.0, 5.0, 5.8, 4.3]
[Sepal Width, 3.4163265, 3.4, 3.4, 4.4, 2.3]
[Petal Length, 1.465306, 1.5, 1.5, 1.9, 1.0]
[Petal Width, 0.24489795, 0.2, 0.2, 0.6, 0.1]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 5.9142866, 5.9, 5.5, 6.9, 4.9]
[Sepal Width, 2.7612245, 2.8, 3.0, 3.4, 2.0]
[Petal Length, 4.2510204, 4.3, 4.5, 5.1, 3.0]
[Petal Width, 1.3244898, 1.3, 1.3, 1.8, 1.0]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 6.593877, 6.5, 6.3, 7.9, 4.9]
[Sepal Width, 2.967347, 3.0, 3.0, 3.8, 2.2]
[Petal Length, 5.542858, 5.5, 5.1, 6.9, 4.5]
[Petal Width, 2.0163271, 2.0, 1.8, 2.5, 1.4]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 5.8433347, 5.8, 5.0, 7.9, 4.3]
[Sepal Width, 3.054, 3.0, 3.0, 4.4, 2.0]
[Petal Length, 3.7586665, 4.3500004, 1.5, 6.9, 1.0]
[Petal Width, 1.1986669, 1.3, 0.2, 2.5, 0.1]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 5.0040817, 5.0, 5.0, 5.8, 4.3]
[Sepal Width, 3.4163265, 3.4, 3.4, 4.4, 2.3]
[Petal Length, 1.465306, 1.5, 1.5, 1.9, 1.0]
[Petal Width, 0.24489795, 0.2, 0.2, 0.6, 0.1]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 5.9142866, 5.9, 5.5, 6.9, 4.9]
[Sepal Width, 2.7612245, 2.8, 3.0, 3.4, 2.0]
[Petal Length, 4.2510204, 4.3, 4.5, 5.1, 3.0]
[Petal Width, 1.3244898, 1.3, 1.3, 1.8, 1.0]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 6.593877, 6.5, 6.3, 7.9, 4.9]
[Sepal Width, 2.967347, 3.0, 3.0, 3.8, 2.2]
[Petal Length, 5.542858, 5.5, 5.1, 6.9, 4.5]
[Petal Width, 2.0163271, 2.0, 1.8, 2.5, 1.4]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 5.8433347, 5.8, 5.0, 7.9, 4.3]
[Sepal Width, 3.054, 3.0, 3.0, 4.4, 2.0]
[Petal Length, 3.7586665, 4.3500004, 1.5, 6.9, 1.0]
[Petal Width, 1.1986669, 1.3, 0.2, 2.5, 0.1]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 5.0040817, 5.0, 5.0, 5.8, 4.3]
[Sepal Width, 3.4163265, 3.4, 3.4, 4.4, 2.3]
[Petal Length, 1.465306, 1.5, 1.5, 1.9, 1.0]
[Petal Width, 0.24489795, 0.2, 0.2, 0.6, 0.1]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 5.9142866, 5.9, 5.5, 6.9, 4.9]
[Sepal Width, 2.7612245, 2.8, 3.0, 3.4, 2.0]
[Petal Length, 4.2510204, 4.3, 4.5, 5.1, 3.0]
[Petal Width, 1.3244898, 1.3, 1.3, 1.8, 1.0]
[Parameters, Mean, Median, Mode, Max, Min]
[Sepal Length, 6.593877, 6.5, 6.3, 7.9, 4.9]
[Sepal Width, 2.967347, 3.0, 3.0, 3.8, 2.2]
[Petal Length, 5.542858, 5.5, 5.1, 6.9, 4.5]
[Petal Width, 2.0163271, 2.0, 1.8, 2.5, 1.4]
